,Source,DriftRateMax,Nevent,FreqMid,DriftBW,DriftRates,Freqs,FileID,SNR
3744,GJ1245B,0.344394,5,1574.8067895,0.07309000027993776,[-0.315694 -0.315694 -0.344394 -0.315694 -0.315694],[1574.839289 1574.82929  1574.789294 1574.78429  1574.77429 ],spliced_blc0001020304050607_guppi_57587_18513_Gj1245b_0009.gpuspec.0000.h5,[16.405505 15.073666 13.897522 15.507205 15.816494]
3745,HIP4436,0.009566,4,1548.657072,0.07372219492006356,[-0.009566 -0.009566 -0.009566 -0.009566],[1548.690562 1548.687777 1548.679914 1548.623582],spliced_blc0001020304050607_guppi_57803_80733_HIP4436_0032.gpuspec.0000.h5,[28.531479 26.183541 24.802618 25.822832]
3746,HIP3998,0.009566,3,1557.546152,0.073724394920058,[-0.009566 -0.009566 -0.009566],[1557.579643 1557.536929 1557.512661],spliced_blc0001020304050607_guppi_57585_47710_Hip3998_0033.gpuspec.0000.h5,[15.197533 39.306005 30.074932]
3747,HIP100859,3.290872,3,1420.427108,0.07446742864019032,[-3.290872  2.401189  2.372489],[1420.454046 1420.402447 1420.40017 ],spliced_blc0001020304050607_guppi_57667_83770_HIP100859_0009.gpuspec.0000.h5,[21.849825 13.302517 13.389598]
3748,HIP103039,3.740497,3,1625.550292,0.0750970961403436,[-3.740497 -3.424803  3.300439],[1625.576572 1625.572555 1625.524012],spliced_blc0001020304050607_guppi_57580_23329_Hip103039_0015.gpuspec.0000.h5,[12.016    13.961361 70.918447]
3749,HIP8275,0.009566,2,1554.565783,0.07580559492005581,[-0.009566 -0.009566],[1554.60022  1554.531346],spliced_blc0001020304050607_guppi_57680_19730_HIP8275_0051.gpuspec.0000.h5,[123.778326  23.565572]
3750,HIP85829,0.009566,2,1547.7001555000006,0.07597169492001161,[0.009566 0.009566],[1547.734668 1547.665643],spliced_blc0001020304050607_guppi_57683_70923_HIP85829_0015.gpuspec.0000.h5,[23.111724 19.611995]
3751,HIP36046,0.019706,6,1527.6100625,0.07599654172006716,[-0.019706 -0.009853 -0.009853 -0.009853 -0.009853 -0.009853],[1527.644565 1527.629588 1527.621969 1527.604856 1527.591422 1527.57556 ],spliced_blc0001020304050607_guppi_57533_75682_HIP36046_0009.gpuspec.0000.h5,[17.579538 10.994013 10.071885 12.889755 16.290438 15.138883]
3752,HIP428,0.009566,2,1551.12655,0.07611579491977286,[-0.009566 -0.009566],[1551.161128 1551.091972],spliced_blc0001020304050607_guppi_57803_78681_HIP428_0026.gpuspec.0000.h5,[17.322631 20.819099]
3753,HIP68634,0.670007,2,1576.0522959999994,0.07621243233997928,[-0.512358 -0.670007],[1576.085531 1576.019061],spliced_blc0001020304050607_guppi_57541_16949_HIP68634_0015.gpuspec.0000.h5,[17.893306 14.150125]
3754,GJ411,0.32515,2,1575.5970575,0.07630109300010984,[-0.305444 -0.32515 ],[1575.631057 1575.563058],spliced_blc0001020304050607_guppi_57542_84369_GJ411_0003.gpuspec.0000.h5,[315.085025 103.183416]
3755,HIP113409,0.029559,3,1685.1218209999995,0.07658436258007359,[-0.029559 -0.029559 -0.029559],[1685.15657  1685.148798 1685.087072],spliced_blc0001020304050607_guppi_57530_46571_HIP113409_0009.gpuspec.0000.h5,[51.928449 53.323777 42.6874  ]
